Postcode,Average total income or loss
2000,0.4543408699492477
2007,-0.6136794505501263
2008,0.2766217923694187
2009,0.9633835158094475
2010,1.1013639253004186
2011,1.844457633845921
2015,0.7814385701109008
2016,0.6542748322265554
2017,0.25146043081852226
2018,-0.020119442315575116
2019,0.27321008232861915
2020,-0.18616892077857855
2021,2.9216663097960844
2022,1.4140393966532374
2023,5.379299391572468
2024,2.7638747204091074
2025,4.1265039568179755
2026,1.6375064043256053
2027,5.705040161604258
2028,7.1498993638828505
2029,2.3345032578880325
2030,5.105509660798308
2031,1.3093619294923433
2032,0.08075862048170132
2033,0.4408103380828951
2034,1.488980709253981
2035,0.6312845588834405
2036,0.25293366924523114
2037,0.859403898429626
2038,1.4206689695734274
2039,1.769593860109741
2040,1.1842529715189338
2041,2.6293447903912175
2042,0.543045331010035
2043,0.9453169603661228
2044,0.2572758456607942
2045,1.3865130997331503
2046,0.9820703821692811
2047,1.4511029739146502
2048,0.7244475046566362
2049,0.525870472509192
2050,0.7958995683520169
2060,2.211100154935023
2061,3.051466369075593
2062,1.9232371202425642
2063,4.293600209952587
2064,1.0031221838983053
2065,1.5850901318805946
2066,1.678524463679763
2067,0.45158824025723904
2068,2.3873072246558613
2069,2.4301086778949825
2070,2.03008567561124
2071,1.9019914713521309
2072,1.2600472116298775
2073,1.8370526722800948
2074,1.6993436488150964
2075,1.2207350072961196
2076,1.3085477714144251
2077,-0.017056657165311916
2079,0.1684938457354433
2080,0.018378603940264818
2081,0.21234207364617336
2082,0.17713942913428748
2083,-0.0012387287943323685
2084,1.4949124323930985
2085,0.5250175449989921
2086,0.6598188610428546
2087,0.8532783281290995
2088,4.4309215390947685
2089,1.8054555849704175
2090,2.502685055126536
2092,3.2831524963917054
2093,1.8998979220089132
2094,1.8315861823283592
2095,2.715490468921405
2096,1.49708352060088
2097,0.8009395945486526
2099,0.31124289539707733
2100,0.49140444721066057
2101,0.5627402026091958
2102,0.6093410602119346
2103,0.5177288917300114
2104,1.6528978689414848
2105,1.7503642216979618
2106,1.339408239510748
2107,1.0965952851297556
2108,3.5819872804199173
2110,4.991760146483469
2111,1.170567361923454
2112,0.27383039324512815
2113,0.22517475573145332
2114,0.017099212674965
2115,-0.14895026578803844
2116,-0.2307925373349449
2117,-0.14503455312757538
2118,-0.24331506396197036
2119,1.074380400432277
2120,0.3651711757010787
2121,0.20334756535679283
2122,-0.21439306747973816
2125,0.7597664574653675
2126,0.2950760421355615
2127,0.031094977728699357
2128,-0.49205974148208015
2130,0.580070138839166
2131,-0.2759589259432566
2132,0.1277084029749764
2133,-0.09164904487551939
2134,-0.4860117100461174
2135,0.20761220290779223
2136,-0.1358461976767858
2137,0.6638121125678813
2138,-0.0017427314139959326
2140,-0.46546391093675665
2141,-0.7031205308242681
2142,-0.7116885753585486
2143,-0.598636910824783
2144,-0.999629148915571
2145,-0.2074921085335755
2146,-0.3229862473010953
2147,-0.25645790150550485
2148,-0.47356672228365554
2150,-0.3165892909745962
2151,-0.037139223087290854
2152,-0.002324272898223122
2153,0.2100546771415464
2154,0.3934340918345201
2155,0.3157789189740494
2156,1.0730622397346954
2157,0.2815842797014907
2158,1.7152391160506395
2159,0.4997398751512503
2160,-0.6125939064462356
2161,-0.6760594670915628
2162,-0.6429891413551767
2163,-0.8010908862004085
2164,-0.4363092978608336
2165,-0.7042060749281588
2166,-0.7183956871433022
2167,-0.3096495625961518
2168,-0.5762669483981772
2170,-0.3924998393823853
2171,-0.15937924307184603
2173,-0.004727977699695504
2174,-0.004883055428822755
2176,-0.38672319397239524
2177,-0.5054739650515873
2190,-0.5960393588619016
2191,-0.2732838351158115
2192,-0.5782829588768315
2193,-0.12762707803304152
2194,-0.8008195001744358
2195,-0.9080557498659295
2196,-0.630505384160433
2197,-0.3196133066925776
2198,-0.4086279232116194
2199,-0.6092209658377179
2200,-0.6512470304312028
2203,0.3528812656677441
2204,0.17586003786898768
2205,-0.22916422117910876
2206,0.17244832782818817
2207,-0.161046328659964
2208,-0.1291390858920322
2209,-0.37237850402812456
2210,-0.1970243618174861
2211,-0.25994715041086797
2212,-0.2509138726892056
2213,-0.05485685364007922
2214,0.7380168059552706
2216,-0.3757514446366423
2217,-0.17779472340570704
2218,-0.45895064631341215
2219,0.3283789844656385
2220,-0.6646224845684281
2221,0.5022211188172863
2222,-0.3337253800431574
2223,0.33194577223556526
2224,0.5012131135779592
2225,0.6966110522782948
2226,0.4249536402796338
2227,0.3906039232779478
2228,0.24192315047719637
2229,0.6491184977330743
2230,1.012077922755404
2231,0.15364515317150904
2232,0.13367889554637555
2233,0.06424284232964915
2234,0.2696045251264106
2250,-0.24230705872264324
2251,-0.08187914794050262
2256,-0.3352373879021481
2257,-0.3742006673453698
2258,-0.03950415845648143
2259,-0.39719094068848465
2260,0.3523384936157987
2261,-0.4087830009407466
2262,-0.5474612602127904
2263,-0.5559129964502255
2264,-0.4284391031076256
2265,-0.35016361933064594
2267,-0.3024384481917346
2278,-0.35477718177218165
2280,-0.12223812694586955
2281,-0.2592105311975135
2282,0.0038400668345850847
2283,-0.24246213645177048
2284,-0.2949947171936266
2285,-0.27363276000634784
2286,-0.35481595120446346
2287,-0.2806887966816377
2289,-0.06567352524670494
2290,-0.13414034265638602
2291,0.9832722345700173
2292,-0.15251705355796522
2293,-0.0068215270429133855
2294,-0.1433286981071756
2295,-0.132899720823368
2296,-0.11107253044870752
2297,-0.1574020020254736
2298,-0.3320582944550394
2299,-0.3217843949003591
2300,0.9960273777907337
2303,0.22521352516373513
2304,-0.35566887871466335
2305,0.2493668814753044
2306,-0.8897953472611958
2307,-0.6265121326354063
2311,-0.6326377029359327
2312,-0.8288885691464681
2315,-0.42785756162339844
2316,-0.40738730137860135
2317,-0.45639186378281255
2318,-0.2268768246744818
2319,-0.6327540112327781
2320,0.0040339139959941475
2321,-0.052646996000015905
2322,-0.22858267969488158
2323,-0.20609640897143025
2324,-0.488570492576717
2325,-0.36586523940478005
2326,-0.45034383234684977
2327,-0.5433904698232
2328,-0.20291731552432163
2329,-0.6603578470174287
2330,0.21718825268139993
2333,0.09936794797697138
2334,-0.11933041952473361
2335,0.03787962837801657
2336,-0.053848848400752096
2337,-0.08878010688666527
2340,-0.3807139319687143
2341,-0.6961420330135417
2343,-0.47895567337082745
2346,-0.7356868539409906
2347,-0.9253856860958998
2350,-0.42506616249910795
2352,-0.5671561318119511
2353,-0.6613658522567558
2354,-0.665048948323528
2357,-0.6736945317223723
2358,-0.712231347410494
2359,-0.9705520747042115
2360,-0.6467110068542307
2365,-0.8193125193728604
2370,-0.8076429202560349
2371,-1.1443554396235776
2372,-1.0226581916909676
2380,-0.10428787979939032
2382,-0.3714480376533611
2388,-0.44549765331162317
2390,-0.26603395127911256
2396,-0.6867598304013431
2400,0.04245442138727045
2402,-0.7100214897704307
2404,-0.7839160276995656
2406,-0.07141140122441321
2420,-0.6326764723682146
2421,-0.13165909899035003
2422,-0.8801805280553062
2423,-0.8426904870387935
2425,-0.5072961283688325
2426,-0.9101880686414292
2427,-0.8263297866158685
2428,-0.7101765674995579
2429,-0.8113260163228071
2430,-0.6819911902306801
2431,-0.7691836434324767
2439,-0.8010521167681267
2440,-0.7956631656809547
2441,-0.5085367502018505
2443,-0.9340700389270258
2444,-0.45007244632087706
2445,-0.5957679728359289
2446,-0.6512470304312028
2447,-0.7809695508461478
2448,-0.8159783481966246
2449,-1.0391739698430198
2450,-0.48070029782350904
2452,-0.6438032994330948
2453,-0.9398854537692977
2454,-0.7231643273139652
2455,-0.6938934059411966
2456,-0.6957543386907237
2460,-0.6795874854292078
2462,-0.8440474171686569
2463,-0.6523325745350935
2464,-0.6493473282493939
2466,-0.8465674302669747
2469,-1.064374100826198
2470,-0.8059758346679169
2471,-0.8675804625637171
2472,-0.7539472565457244
2473,-0.5903402523164751
2474,-0.8533133114840101
2476,-0.9750880982811836
2477,-0.4927963606954346
2478,-0.4053325214676653
2479,-0.13100001864155922
2480,-0.6606680024756832
2481,-0.24785108753894244
2482,-0.8122952521298523
2483,-0.6997863596480322
2484,-0.6628778601157466
2485,-0.6290709151660059
2486,-0.5923562627951294
2487,-0.03341735758823684
2488,-0.41983228914106324
2489,-0.4908191196490621
2490,-0.5168721781424402
2500,-0.17911288410328866
2502,-0.5888282444574844
2505,-0.3380675564587204
2506,-0.45352292579395836
2508,0.23137786489654336
2515,0.5595611091620871
2516,0.35571143422431645
2517,0.08824112091209116
2518,-0.15356382822957415
2519,-0.07982436802956655
2525,-0.04357494884607175
2526,-0.06679783878287751
2527,-0.2839841984255918
2528,-0.4736054917159373
2529,-0.15992201512379142
2530,-0.3063929302844795
2533,-0.11173161079749834
2534,-0.020739753232084115
2535,-0.1721343862925624
2536,-0.6900940015775789
2537,-0.6774551666537081
2538,-0.38028746821361437
2539,-0.7843037220223836
2540,-0.5715758470920779
2541,-0.5107853772741956
2546,-0.8486609796101926
2548,-0.6368635710546503
2549,-0.6059643335260456
2550,-0.6391509675592772
2551,-0.7052916190320495
2556,-0.022910841439865624
2557,-0.019848056289602425
2558,-0.36280245425451685
2559,-0.8010521167681267
2560,-0.3629187625513623
2564,-0.5522686698157351
2565,-0.2596369949526135
2566,-0.41746735377187266
2567,0.014850585602619868
2569,-0.0778083575509123
2570,0.11367386848896023
2571,0.09099375060409985
2572,-0.12375013480486025
2573,-0.34392174073327414
2574,-0.2289703740176997
2575,-0.01473049122840316
2576,0.4297610498825785
2577,-0.09265705011484653
2578,-0.47643566027250966
2579,-0.2980575023438898
2580,-0.3433401992490469
2581,-0.124835678908751
2582,0.0834337113091464
2583,-0.5926664182533838
2586,-0.4880277205247716
2587,-0.5472674130513813
2590,-0.5759180235076409
2594,-0.5579677763611616
2620,0.18431177410642283
2621,0.474772360761763
2622,-0.4674023825508473
2627,-0.3469069870189737
2628,-0.6471374706093306
2630,-0.3835828699575684
2632,-0.38800258523769504
2640,-0.24083382029593436
2641,-0.6480291675518123
2642,-0.46903069870668346
2643,-0.6383368094813592
2644,-0.29212577920477245
2646,-0.5695210671811417
2647,-0.6159280776224715
2648,-0.5816946689176309
2650,-0.2062902561328393
2653,-0.5371098217935464
2655,-0.47492365241351897
2658,-0.6484556313069122
2659,-0.77802307399273
2660,-0.53718736065811
2663,-0.48771756506651714
2665,-0.9803607410715101
2666,-0.6583806059710563
2669,-0.8871590258660326
2671,-0.46007495984958474
2672,-0.6225188811103796
2675,-0.6493085588171121
2680,-0.42518247079595334
2681,-0.5551376078045893
2700,-0.682029959662962
2701,-0.5031865685469603
2702,-0.8347815228533036
2703,-0.608794502082618
2705,-0.5358691999605284
2706,-0.6779591692733716
2707,-0.6063520278488638
2710,-0.5533542139196259
2711,-0.5594797842201523
2712,-0.6703215911138546
2713,-0.7936083857700187
2714,-0.7100602592027125
2715,-0.34675190928984645
2716,-0.5156315563094223
2717,-0.6726477570507633
2720,-0.3367881651934206
2722,-0.5531991361904987
2729,-0.40246358347881117
2730,-0.7253741849540285
2731,-0.34132418877039267
2732,-0.6815259570432984
2738,-0.1543392168752104
2739,-0.343534046410456
2745,0.15980949290431726
2747,-0.1724445417508169
2749,-0.08602747719465657
2750,-0.15255582299024703
2752,-0.06361874533576888
2753,-0.17139776707920795
2754,-0.2332737810009809
2756,-0.05287961259370678
2758,0.0016302091945217653
2759,-0.22059617664482817
2760,-0.38645180794642253
2761,-0.3081375547371611
2762,-0.0005021095809779287
2763,-0.1684512902257902
2765,0.0690114825003121
2766,-0.3875373520503133
2767,-0.37978346559395076
2768,0.07746321873774725
2770,-0.5969310558043832
2773,0.4364293922350503
2774,0.04943291919799673
2775,-0.21377275656322914
2776,-0.02167021960684762
2777,-0.06734061083482289
2778,-0.16438049983619987
2779,-0.29580887527154465
2780,-0.4624786646510571
2782,-0.17446055222947116
2783,-0.35563010928238153
2784,-0.3767594498759694
2785,-0.4317345048515797
2786,-0.5096222943057412
2787,-0.468914390409838
2790,-0.2716942883922572
2791,-0.46437836683286593
2792,-0.44309394851015077
2794,-0.6567910592475019
2795,-0.26905796699709394
2797,-0.6682280417706367
2798,0.1424407872420652
2799,-0.4527863065806039
2800,-0.0840114667160023
2806,-0.5578902374965979
2810,-0.5264869973483297
2820,-0.6772225500600172
2821,-0.5630078025577973
2823,-0.427741253326553
2824,-0.3912204481170855
2825,-0.34089772501529275
2827,-0.7407268801376263
2829,-0.637328804242032
2830,-0.32387794424357697
2831,-0.7113396504680123
2835,0.18803363960547684
2840,-0.393391536324867
2842,-1.0727095287667878
2843,-0.6606292330434014
2844,-0.541529537073673
2845,-0.24261721418089774
2847,-0.4118457860910098
2848,-0.8400153962113484
2849,-0.49209851091436196
2850,-0.15015211818877464
2852,-0.3652836979205529
2866,-0.2739816848968841
2869,-0.8673478459700263
2870,-0.4244458515825989
2871,-0.4542983144395946
2877,-0.6394611230175317
2880,-0.2718105966891026
